Date,SO2,NO2,CO,O3,PM10,PM2_5,TEMP,WD10,WS10
2022-12-28,0.64,18.9,0.41,44.54,14.5,9.05,0.48,190.88,1.38
2022-12-27,0.48,13.55,0.34,43.98,10.83,5.71,-2.68,153.29,2.19
2022-12-26,0.16,5.45,0.24,50.15,11.04,7.75,-8.47,145.46,2.22
2022-12-25,0.48,27.92,0.59,28.32,19.91,15.51,-4.24,188.96,1.25
2022-12-24,0.55,14.47,0.46,44.28,11.33,8.54,-1.57,237.38,1.13
2022-12-23,0.25,15.25,0.47,24.12,12.69,8.98,2.17,174.96,1.33
2022-12-22,0.23,11.65,0.37,39.47,11.57,6.43,2.85,186.46,1.72
2022-12-21,0.42,16.72,0.53,17.21,12.15,8.7,2,178.96,1.24
2022-12-20,0.71,16.43,0.38,40.08,19.39,14.74,-5.51,176.38,1.99
2022-12-19,0.57,12.22,0.35,48.55,14.15,8.49,0.27,213.46,1.57
2022-12-18,0.26,14.47,0.43,42.12,16.32,12.03,-6.98,195.71,1.8
2022-12-17,0.03,12.5,0.32,39.45,17.3,13.42,-7.25,150.92,1.05
2022-12-16,0.45,20.95,0.47,28.92,29.09,22.65,-7.18,183.75,1.85
2022-12-15,0.72,38.6,0.49,26.37,19.53,15.29,-9.4,177.67,2.07
2022-12-14,0.42,23,0.43,39.82,15.33,10.8,-4.62,188.92,1.95
2022-12-13,0.51,12.15,0.35,29.04,8.75,5.25,-4.75,160.17,2.1
2022-12-12,0.47,6.7,0.22,36.18,7.85,3.97,-5.81,69.88,2.35
2022-12-11,0.07,6.97,0.25,41.18,7.09,4.93,-7.15,76.08,1.46
2022-12-10,0.16,6.89,0.26,52.96,8.83,5.76,-8.14,147.67,1.49
2022-12-09,0.54,18.67,0.39,42.09,13.27,9.33,-1.88,184.71,1.26
2022-12-08,0.8,12.57,0.38,26.97,11.38,7.21,-2.06,157.79,1.93
2022-12-07,0.7,9.47,0.28,30.39,8.64,6.54,-3.95,144.29,1.94
2022-12-06,0.54,13.65,0.32,25.51,13.33,9.82,-5.11,175.46,2.31
2022-12-05,0.51,10.58,0.3,24.49,14.59,10.52,-3.28,164.71,1.54
2022-12-04,0.74,8.05,0.28,29.41,15.18,10.2,-3.6,160.25,1.58
2022-12-03,0.28,19.98,0.41,18.5,23.67,16.5,-9.64,144.50,1.07
2022-12-02,0.24,19.57,0.35,19.69,18.99,11.92,-10.76,116.17,1.12
2022-12-01,0.44,16.18,0.33,12.71,18.6,12.07,-4.57,107.88,0.87
